,annotation,content,extras,label,Predictions
22,"{'notes': '', 'label': ['1']}",it pretty much is a fuck you card..,,1,1
23,"{'notes': '', 'label': ['1']}",that karma is a bitch  HUH,,1,1
24,"{'notes': '', 'label': ['1']}",don't get too fat or you'll turn into a boomer,,1,1
25,"{'notes': '', 'label': ['1']}",the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.,,1,1
26,"{'notes': '', 'label': ['1']}",except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?,,1,1
27,"{'notes': '', 'label': ['1']}",man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.,,1,1
28,"{'notes': '', 'label': ['1']}",hard to kick ass yourself with slippers on?  On it.,,1,1
29,"{'notes': '', 'label': ['1']}",Thats pretty damn awesome! Very smart :) @Aaronage Sure!,,1,1
30,"{'notes': '', 'label': ['1']}",freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool,,1,1
31,"{'notes': '', 'label': ['1']}",Damn  that sounds good...,,1,1
32,"{'notes': '', 'label': ['1']}",they should have a wii loser..that way you can compete with your wii friends.,,1,1
33,"{'notes': '', 'label': ['1']}",@markmancao haha. i love it! gay nights for all!,,1,1
34,"{'notes': '', 'label': ['1']}",that's awesome! you're pretty damn good!,,1,1
35,"{'notes': '', 'label': ['1']}",Faggoty fag fag. Gay secks man blowjob. Settle down.,,1,1
36,"{'notes': '', 'label': ['1']}",Right. That wouldn't be creepy as fuck.,,1,1
37,"{'notes': '', 'label': ['1']}",HOLY SHIT. Fuck that band.,,1,1
38,"{'notes': '', 'label': ['1']}",Gay fag.,,1,1
39,"{'notes': '', 'label': ['1']}",oh ok it's the dick-in-a-box guys  that explains the timberlake appearance,,1,1
40,"{'notes': '', 'label': ['1']}",*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?,,1,0
41,"{'notes': '', 'label': ['1']}",and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay,,1,1
42,"{'notes': '', 'label': ['1']}", oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you,,1,1
43,"{'notes': '', 'label': ['1']}","where'd ya put it? o btw: ""kick ass quote Copyright&#169; 2009 @abcd91 All Rights Reserved""",,1,1
44,"{'notes': '', 'label': ['1']}",It sucks to be done with exams n still be @ Mayag.,,1,1
45,"{'notes': '', 'label': ['1']}",Epic WINS for Fuck City&lt;3,,1,1
46,"{'notes': '', 'label': ['1']}",Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol,,1,1
47,"{'notes': '', 'label': ['1']}", aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!,,1,1
48,"{'notes': '', 'label': ['1']}",fuck yes.  I hate them at work...,,1,1
49,"{'notes': '', 'label': ['1']}",Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic,,1,1
50,"{'notes': '', 'label': ['1']}",but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!,,1,1
51,"{'notes': '', 'label': ['1']}",damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.,,1,1
52,"{'notes': '', 'label': ['1']}",I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.,,1,1
53,"{'notes': '', 'label': ['1']}",damn.  did you buy bitchy too?,,1,1
54,"{'notes': '', 'label': ['1']}",then by all means  bitch away! haha.,,1,1
55,"{'notes': '', 'label': ['1']}",sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.,,1,1
56,"{'notes': '', 'label': ['1']}",Let that pussy freeze. Rotten bitey little bastard.,,1,1
57,"{'notes': '', 'label': ['1']}",Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.,,1,1
58,"{'notes': '', 'label': ['1']}",hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.,,1,1
59,"{'notes': '', 'label': ['1']}",I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa,,1,1
60,"{'notes': '', 'label': ['1']}",imagine a building. not any building...a fucking 300 acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!,,1,1
61,"{'notes': '', 'label': ['1']}",Ugh  twitter stop it  you fucking slut.,,1,1
62,"{'notes': '', 'label': ['1']}",HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAHAAH,,1,1
63,"{'notes': '', 'label': ['1']}",cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha,,1,1
64,"{'notes': '', 'label': ['1']}",Fuck the pics! @giove_dea WE WANT VIDS!!,,1,1
65,"{'notes': '', 'label': ['1']}",Hard to play because it is damn fucking awful,,1,1
66,"{'notes': '', 'label': ['1']}",you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time,,1,1
67,"{'notes': '', 'label': ['1']}",no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol,,1,1
68,"{'notes': '', 'label': ['1']}",oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.,,1,1
69,"{'notes': '', 'label': ['1']}","you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  ""I'd hate to be a bird.""",,1,1
70,"{'notes': '', 'label': ['1']}",I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.,,1,1
71,"{'notes': '', 'label': ['1']}",Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!,,1,1
72,"{'notes': '', 'label': ['1']}",FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!,,1,1
73,"{'notes': '', 'label': ['1']}",another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!,,1,1
74,"{'notes': '', 'label': ['1']}","there's nothing better than listening to music on shuffle and hearing you say ""you bitch!"" randomly in the middle of it.",,1,1
75,"{'notes': '', 'label': ['1']}",I got it. How many damn websites do u have homie! Sheesh!,,1,1
76,"{'notes': '', 'label': ['1']}",U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!,,1,1
77,"{'notes': '', 'label': ['1']}", kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!,,1,1
78,"{'notes': '', 'label': ['1']}",haris i m trying to control my fat tummy did'nt eat from 2 days :D,,1,1
79,"{'notes': '', 'label': ['1']}",700. you glutinous bitch!,,1,1
80,"{'notes': '', 'label': ['1']}",Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad),,1,1
81,"{'notes': '', 'label': ['1']}",So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!,,1,1
82,"{'notes': '', 'label': ['1']}",lo thankyou.. will see you soon :) and i hav to send a mail to u damn!,,1,1
83,"{'notes': '', 'label': ['1']}",Have you tried 'fuck' and 'Fuck'? (yes  they are different),,1,1
84,"{'notes': '', 'label': ['1']}",Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.,,1,1
85,"{'notes': '', 'label': ['1']}",damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol,,1,1
86,"{'notes': '', 'label': ['1']}",that sucks... she should prolly just change her major lol,,1,1
87,"{'notes': '', 'label': ['1']}",that sucks... so are there plans to get back together? or are they done?,,1,1
88,"{'notes': '', 'label': ['1']}",you are a fatty fat fat,,1,1
89,"{'notes': '', 'label': ['1']}",you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!,,1,1
90,"{'notes': '', 'label': ['1']}",they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.,,1,1
91,"{'notes': '', 'label': ['1']}",no one likes every fat snack u do bitch! so shaddup ahahahahaha,,1,1
92,"{'notes': '', 'label': ['1']}",stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!,,1,1
93,"{'notes': '', 'label': ['1']}",ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???,,1,1
94,"{'notes': '', 'label': ['1']}",'Night Guy' is ALL motivated @ 11pm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!,,1,1
95,"{'notes': '', 'label': ['1']}",OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),,1,1
96,"{'notes': '', 'label': ['1']}",mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL,,1,1
97,"{'notes': '', 'label': ['1']}","lol @ ""the bitch"". damn.",,1,1
98,"{'notes': '', 'label': ['1']}",damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.,,1,1
99,"{'notes': '', 'label': ['1']}",Slurpees are awesome. Damn  now I really really want one O.o,,1,1
100,"{'notes': '', 'label': ['1']}","I can see it now. ""Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!",,1,1
101,"{'notes': '', 'label': ['1']}",i loved it  i laughed my ass off,,1,1
102,"{'notes': '', 'label': ['1']}",ahh  you might be on to something...damn techies,,1,1
103,"{'notes': '', 'label': ['1']}",The pig of shame? Lol! Is that like the aardvark of discontent?,,1,1
104,"{'notes': '', 'label': ['1']}",Still - it's damn moronic that media people can't access media - particularly media made by their own company!,,1,1
105,"{'notes': '', 'label': ['1']}",if anyone said Arial I'm gonna beat their ass.,,1,1
106,"{'notes': '', 'label': ['1']}",well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.,,1,1
107,"{'notes': '', 'label': ['1']}",Tell her she says Bitch like it's a bad thing,,1,1
108,"{'notes': '', 'label': ['1']}",I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon,,1,1
109,"{'notes': '', 'label': ['1']}",Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p,,1,1
110,"{'notes': '', 'label': ['1']}",You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.,,1,1
111,"{'notes': '', 'label': ['1']}",Damn  you're totally geeking out on us tonite.,,1,1
112,"{'notes': '', 'label': ['1']}",the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.,,1,1
113,"{'notes': '', 'label': ['1']}",we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...,,1,1
114,"{'notes': '', 'label': ['1']}",Let your hate for Gambit grow. Embrace it. Spread it.,,1,1
115,"{'notes': '', 'label': ['1']}",dig deep and find that special Christmas hate!,,1,1
116,"{'notes': '', 'label': ['1']}",I tried to rickroll my office christmas party last night but the damn band didn't know it!,,1,1
117,"{'notes': '', 'label': ['1']}",even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.,,1,1
118,"{'notes': '', 'label': ['1']}",Smack a bitch? :-D,,1,1
119,"{'notes': '', 'label': ['1']}",rock  not the. He gives the emo populists limp wrist rocker throw.,,1,1
120,"{'notes': '', 'label': ['1']}",Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!,,1,1
121,"{'notes': '', 'label': ['1']}",i feel fucking great get me another drink,,1,1
122,"{'notes': '', 'label': ['1']}","You've got 5"" of snow?  Damn.  I'm jealous.",,1,1
123,"{'notes': '', 'label': ['1']}",It just sucks that so many use it as a crutch.,,1,1
124,"{'notes': '', 'label': ['1']}",They say I have the best ass this side of fourteenth street.,,1,1
125,"{'notes': '', 'label': ['1']}",yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site,,1,0
126,"{'notes': '', 'label': ['1']}",ha not that creepy. because it's week 10 and I'm fucking stressed out as hell. I wish I could take a trip down there x.x,,1,1
127,"{'notes': '', 'label': ['1']}",Fuck  amen to that,,1,1
128,"{'notes': '', 'label': ['1']}",Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:,,1,1
129,"{'notes': '', 'label': ['1']}",I knw!!!!!  I hate that! D:,,1,1
130,"{'notes': '', 'label': ['1']}",Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(,,1,1
131,"{'notes': '', 'label': ['1']}",yeah. i had to beg the stupid teacher. it was so gay.,,1,1
132,"{'notes': '', 'label': ['1']}",yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...,,1,1
133,"{'notes': '', 'label': ['1']}",told ya she was fat! she's loyal tho  she has this goin for her...,,1,1
134,"{'notes': '', 'label': ['1']}",if you tweet about that damn song one more time.... And its on the Scion double disc promo cd,,1,0
135,"{'notes': '', 'label': ['1']}",I have all th nerd at home and I'm a smart ass too. So I answered you,,1,1
136,"{'notes': '', 'label': ['1']}",u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh,,1,1
137,"{'notes': '', 'label': ['1']}",you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P,,1,1
138,"{'notes': '', 'label': ['1']}",haha... so you want to be a twitter slut... alright  fine... i'll be waiting for the moment you mature from a tease to a slut!,,1,1
139,"{'notes': '', 'label': ['1']}",and there were only 5 of us.. it was a night that i've already forgotten... damn the alcohol,,1,0
140,"{'notes': '', 'label': ['1']}",I like the verses to the song....just not that lame ass auto tuning nigga on the hook,,1,1
141,"{'notes': '', 'label': ['1']}",hold up nigga..u cant hate Jay-Z...might have to beat yo ass like that nigga did when that other guy said F Tupac...lmao,,1,1
142,"{'notes': '', 'label': ['1']}",way to damn hard,,1,1
143,"{'notes': '', 'label': ['1']}","the explosion of social media into mainstream business.  We will see everyone joining Twitter  its the ""year of the nerd""",,1,1
144,"{'notes': '', 'label': ['1']}",but...but...to hate them is sin!!! just give me the ones you get angry with...i'll take care of them! hahaha,,1,1
145,"{'notes': '', 'label': ['1']}",DOGS LICK THEIR ASS...NEED I SAY MORE? DOG.,,1,1
146,"{'notes': '', 'label': ['1']}",No  I HATE those commercials! Just GROSS. *gag* Okay okay  you've got an hour before showtime. hehehe &#9829;,,1,1
147,"{'notes': '', 'label': ['1']}",it was a joke haha. i figured id be emo too since everyone is complaining on here,,1,1
148,"{'notes': '', 'label': ['1']}",It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.,,1,1
149,"{'notes': '', 'label': ['1']}",o so the rumors are true i am OBESE! yea fat!,,1,1
150,"{'notes': '', 'label': ['1']}",girlfriend where the fuck did u find that photo! lmao!,,1,1
151,"{'notes': '', 'label': ['1']}",ur a damn fool lmao,,1,1
152,"{'notes': '', 'label': ['1']}",They're not my preference  but the app is so damn fast and thorough that I let it slide.,,1,1
153,"{'notes': '', 'label': ['1']}", Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :),,1,1
154,"{'notes': '', 'label': ['1']}",Tell them you want YouTube to quit fucking with things that no one wants fucked with.,,1,1
155,"{'notes': '', 'label': ['1']}",No  you just piss out anything your body won't absorb.,,1,1
156,"{'notes': '', 'label': ['1']}",Doh! dont you hate it when that happens  I keep meaning to take a backup myself,,1,1
157,"{'notes': '', 'label': ['1']}",Damn he's doing sneeks for Nike and Louis Vuitton? Dude's gonna be rolling in dollar...,,1,1
158,"{'notes': '', 'label': ['1']}",Mate it is. In Newcastle it was -1  down Bath -6  it's fucking brassic cold,,1,1
159,"{'notes': '', 'label': ['1']}","hate text talking""",,1,1
160,"{'notes': '', 'label': ['1']}",: And whilst on the subject  all Aussie drivers should be reminded KEEP LEFT UNLESS OVERTAKING. Damn middle lane owners club!,,1,1
161,"{'notes': '', 'label': ['1']}",less #damn-fridays  more #bad_wookie_pun,,1,1
162,"{'notes': '', 'label': ['1']}",women are fucking disgusting.,,1,1
163,"{'notes': '', 'label': ['1']}",you bet your sweet ass you will!,,1,1
164,"{'notes': '', 'label': ['1']}",dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.,,1,1
165,"{'notes': '', 'label': ['1']}", will do when i get home  only time i heard it was warped though  fuck life!,,1,1
166,"{'notes': '', 'label': ['1']}",Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol,,1,1
167,"{'notes': '', 'label': ['1']}",i got ur ticks  but yo ass ain't gonna come! lol,,1,1
168,"{'notes': '', 'label': ['1']}",Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?,,1,1
169,"{'notes': '', 'label': ['1']}",stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;),,1,0
170,"{'notes': '', 'label': ['1']}","Also  I caught that ""Gai-damn"" earlier  and I support it 100% ;)",,1,1
171,"{'notes': '', 'label': ['1']}",gee  i'd hate to see what you say about the family ;),,1,1
172,"{'notes': '', 'label': ['1']}",dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.,,1,1
173,"{'notes': '', 'label': ['1']}",damn fine! The snow is gone thank god!,,1,1
174,"{'notes': '', 'label': ['1']}",That sucks.  Life can't really be that bad  right?  Chocolate does always help.,,1,1
175,"{'notes': '', 'label': ['1']}",i hate you :P happy birthday dude  good to know your enjoying it,,1,1
176,"{'notes': '', 'label': ['1']}",thats a good question.  most lawyers HATE that stuff.,,1,1
177,"{'notes': '', 'label': ['1']}",YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME,,1,1
178,"{'notes': '', 'label': ['1']}",oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.,,1,1
179,"{'notes': '', 'label': ['1']}",ummm. Ya. That's pretty damn pimp.,,1,1
180,"{'notes': '', 'label': ['1']}",as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power,,1,1
181,"{'notes': '', 'label': ['1']}",got delayed.  your ass kicking will have to wait.,,1,1
182,"{'notes': '', 'label': ['1']}",I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the 14th.  Did I tell you?,,1,1
183,"{'notes': '', 'label': ['1']}",it was just a joke man..i wasnt taking the piss out of anything.,,1,1
184,"{'notes': '', 'label': ['1']}",i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and,,1,1
185,"{'notes': '', 'label': ['1']}",i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.,,1,1
186,"{'notes': '', 'label': ['1']}",I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).,,1,1
187,"{'notes': '', 'label': ['1']}","Are you laughing your ass off with all these ""juicy"" twits?",,1,1
188,"{'notes': '', 'label': ['1']}",yeah we do... damn this time difference *HUGS*,,1,1
189,"{'notes': '', 'label': ['1']}",OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred,,1,1
190,"{'notes': '', 'label': ['1']}",hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?,,1,1
191,"{'notes': '', 'label': ['1']}",yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.,,1,1
192,"{'notes': '', 'label': ['1']}",wow - mommy's little cheerleader! *must... not... take... the...piss......*,,1,1
193,"{'notes': '', 'label': ['1']}",lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol,,1,0
194,"{'notes': '', 'label': ['1']}",oh hot damn!,,1,1
195,"{'notes': '', 'label': ['1']}",He can't hear you  his head's too far up his own ass.,,1,1
196,"{'notes': '', 'label': ['1']}",Prison Bitch is a sparkling addition to any resume.,,1,1
197,"{'notes': '', 'label': ['1']}",a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes),,1,1
198,"{'notes': '', 'label': ['1']}",that sucks that you're sick. Sorry to hear that.,,1,1
199,"{'notes': '', 'label': ['1']}",No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :),,1,1
200,"{'notes': '', 'label': ['1']}",try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?,,1,1
201,"{'notes': '', 'label': ['1']}",Football. I hate it. It&#8217;s official  I&#8217;m bad luck.,,1,1
202,"{'notes': '', 'label': ['1']}",I fucking love Haunted.,,1,1
203,"{'notes': '', 'label': ['1']}",I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.,,1,1
204,"{'notes': '', 'label': ['1']}",lol kevin bought me damn near nothing and we dated for over 10 months. my life sucks.,,1,1
205,"{'notes': '', 'label': ['1']}",Yea it sucks!!,,1,1
206,"{'notes': '', 'label': ['1']}",Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.,,1,1
207,"{'notes': '', 'label': ['1']}",yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards,,1,1
208,"{'notes': '', 'label': ['1']}",hot damn! did you get an iPhone too?,,1,1
209,"{'notes': '', 'label': ['1']}",aw  thanks. it's going better than yesterday  that's for damn sure. :-D,,1,1
210,"{'notes': '', 'label': ['1']}",no. i must have missed that one. damn. ;-),,1,1
211,"{'notes': '', 'label': ['1']}",have a safe flight.....damn now you make me want some jamba juice,,1,1
212,"{'notes': '', 'label': ['1']}",I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.,,1,1
213,"{'notes': '', 'label': ['1']}",http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?,,1,1
214,"{'notes': '', 'label': ['1']}",him and his damn tech stuff bwahaha,,1,1
215,"{'notes': '', 'label': ['1']}",i'm not emo. I'm fucking happy!,,1,1
216,"{'notes': '', 'label': ['1']}",well now I have to edit myself and you know how I hate that!,,1,1
217,"{'notes': '', 'label': ['1']}",if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.,,1,1
218,"{'notes': '', 'label': ['1']}",what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny,,1,1
219,"{'notes': '', 'label': ['1']}",& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS,,1,1
220,"{'notes': '', 'label': ['1']}",you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.,,1,1
221,"{'notes': '', 'label': ['1']}",i get that ha ha smart ass :p,,1,1
222,"{'notes': '', 'label': ['1']}",i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times,,1,1
223,"{'notes': '', 'label': ['1']}",Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.,,1,1
224,"{'notes': '', 'label': ['1']}",Oh man  that sucks. @Vincentdooly can you help @dsmoore out?,,1,1
225,"{'notes': '', 'label': ['1']}",yea the weather sucks. At least you missed the 8 degree weather though lol.,,1,1
226,"{'notes': '', 'label': ['1']}",I do  but I'm an American. Hence  I'm a pussy.,,1,1
227,"{'notes': '', 'label': ['1']}",God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...,,1,1
228,"{'notes': '', 'label': ['1']}",I take full pride in being a nerd. Hahah.,,1,1
229,"{'notes': '', 'label': ['1']}",THAT'S AN UGLY ASS PICTURE!,,1,1
230,"{'notes': '', 'label': ['1']}",Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!,,1,1
231,"{'notes': '', 'label': ['1']}",My grandmother is a big bitch and my father's a fraking arsehole.,,1,1
232,"{'notes': '', 'label': ['1']}",you must be bored...you are a twitter whore today. ;),,1,1
233,"{'notes': '', 'label': ['1']}",man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,,1,1
234,"{'notes': '', 'label': ['1']}",just don't eat a meal replacement bar.. I fucking threw up!!,,1,1
235,"{'notes': '', 'label': ['1']}",fuck duke!,,1,1
236,"{'notes': '', 'label': ['1']}","what if their ""you"" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this",,1,0
237,"{'notes': '', 'label': ['1']}",2 weeks? how am I gonna live without money for 2 fucking weeks?,,1,1
238,"{'notes': '', 'label': ['1']}",Well get your ass busy!,,1,1
239,"{'notes': '', 'label': ['1']}",Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!,,1,1
240,"{'notes': '', 'label': ['1']}",damn that sucks..I hope you are ok now,,1,1
241,"{'notes': '', 'label': ['1']}",haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!,,1,1
242,"{'notes': '', 'label': ['1']}",Excited that yr friends get to see yr show. I hate them. ;) No  rly  I do. .....Sad that tonite is last show.  Hard to say goodbye?,,1,1
243,"{'notes': '', 'label': ['1']}","Thanks. Nothing just watching ""Jack ass"". Are you having fun doing nothing over there?",,1,1
244,"{'notes': '', 'label': ['1']}",Well  that's upsetting. We can party it up over here. Jack's ass is quite enjoyable thank you,,1,1
245,"{'notes': '', 'label': ['1']}",Fuck. Well  you can for a low cost of 19.99 with shipping and handling. But that's only if you really want to.,,1,1
